,filename,cell_type,xmin,xmax,ymin,ymax
0,0.jpg,WBC,260,491,177,376
1,0.jpg,RBC,78,184,336,435
2,0.jpg,RBC,63,169,237,336
3,0.jpg,RBC,214,320,362,461
4,0.jpg,RBC,414,506,352,445
5,0.jpg,RBC,555,640,356,455
6,0.jpg,RBC,469,567,412,480
7,0.jpg,RBC,1,87,333,437
8,0.jpg,RBC,4,95,406,480
9,0.jpg,RBC,155,247,74,174
10,0.jpg,RBC,11,104,84,162
11,0.jpg,RBC,534,639,39,139
12,0.jpg,RBC,547,640,195,295
13,0.jpg,RBC,388,481,11,111
14,0.jpg,RBC,171,264,175,275
15,0.jpg,RBC,260,374,1,83
16,0.jpg,RBC,229,343,91,174
17,0.jpg,RBC,69,184,144,235
18,0.jpg,RBC,482,594,131,230
19,0.jpg,RBC,368,464,89,176
20,1.jpg,WBC,68,286,315,480
21,1.jpg,RBC,346,446,361,454
22,1.jpg,RBC,53,146,179,299
23,1.jpg,RBC,449,536,400,480
24,1.jpg,RBC,461,548,132,212
25,1.jpg,RBC,454,541,295,375
26,1.jpg,RBC,417,508,283,383
27,1.jpg,RBC,278,369,342,451
28,1.jpg,RBC,545,636,62,159
29,1.jpg,RBC,485,576,91,188
30,1.jpg,RBC,376,438,171,253
31,1.jpg,RBC,329,395,177,271
32,1.jpg,RBC,291,407,59,168
33,1.jpg,RBC,299,404,1,68
34,1.jpg,RBC,346,449,26,138
35,1.jpg,RBC,134,241,1,95
36,1.jpg,RBC,1,98,38,164
37,1.jpg,RBC,165,257,160,264
38,1.jpg,RBC,464,566,209,319
39,2.jpg,RBC,385,523,98,198
40,2.jpg,RBC,384,499,164,260
41,2.jpg,RBC,101,224,120,222
42,2.jpg,RBC,130,234,344,443
43,2.jpg,RBC,161,254,381,480
44,2.jpg,RBC,14,123,228,344
45,2.jpg,RBC,306,415,293,409
46,2.jpg,RBC,531,632,103,221
47,2.jpg,RBC,492,593,233,347
48,2.jpg,RBC,364,465,261,375
49,2.jpg,RBC,264,365,60,174
50,2.jpg,RBC,249,369,174,296
51,2.jpg,WBC,283,567,1,106
52,2.jpg,RBC,109,202,1,98
53,2.jpg,RBC,135,228,66,164
54,2.jpg,RBC,480,590,374,480
55,3.jpg,WBC,127,344,40,226
56,3.jpg,RBC,317,424,93,195
57,3.jpg,RBC,379,471,146,234
58,3.jpg,RBC,504,614,210,302
59,3.jpg,RBC,417,553,248,369
60,3.jpg,RBC,514,615,13,136
61,3.jpg,RBC,417,520,1,88
62,3.jpg,RBC,1,79,126,240
63,3.jpg,RBC,47,158,202,317
64,3.jpg,RBC,314,424,284,377
65,3.jpg,RBC,365,484,350,451
66,3.jpg,RBC,1,86,347,434
67,3.jpg,RBC,49,183,396,480
68,3.jpg,RBC,514,595,385,477
69,3.jpg,RBC,56,151,66,211
70,3.jpg,RBC,213,333,253,368
71,3.jpg,Platelets,335,370,268,299
72,4.jpg,WBC,109,324,134,321
73,4.jpg,RBC,432,528,242,325
74,4.jpg,RBC,510,606,112,195
75,4.jpg,RBC,482,594,361,475
76,4.jpg,RBC,75,166,281,375
77,4.jpg,RBC,38,147,1,62
78,4.jpg,RBC,288,390,33,131
79,4.jpg,RBC,411,527,66,185
80,4.jpg,RBC,1,102,82,198
81,4.jpg,RBC,1,81,283,372
82,4.jpg,RBC,1,78,315,397
83,4.jpg,RBC,391,469,373,455
84,4.jpg,Platelets,127,163,47,81
85,5.jpg,RBC,273,386,115,222
86,5.jpg,RBC,56,169,103,210
87,5.jpg,RBC,414,518,42,170
88,5.jpg,RBC,536,640,74,202
89,5.jpg,RBC,474,578,193,321
90,5.jpg,RBC,466,570,337,465
91,5.jpg,RBC,420,524,352,480
92,5.jpg,RBC,215,314,174,281
93,5.jpg,RBC,380,479,181,288
94,5.jpg,RBC,1,99,64,171
95,5.jpg,RBC,324,444,1,87
96,5.jpg,RBC,162,290,1,70
97,5.jpg,RBC,173,260,165,270
98,5.jpg,RBC,139,226,191,296
99,5.jpg,RBC,103,190,211,316
100,5.jpg,RBC,29,116,231,336
101,5.jpg,Platelets,170,207,65,100
102,5.jpg,Platelets,6,43,401,436
103,5.jpg,Platelets,124,161,305,340
104,5.jpg,WBC,230,441,288,480
105,5.jpg,RBC,151,236,298,423
106,5.jpg,RBC,63,174,19,97
107,6.jpg,WBC,117,290,190,360
108,6.jpg,Platelets,89,131,184,221
109,6.jpg,Platelets,65,107,203,240
110,6.jpg,Platelets,333,372,1,30
111,6.jpg,RBC,79,202,357,459
112,6.jpg,RBC,495,620,1,114
113,6.jpg,RBC,353,476,327,463
114,6.jpg,RBC,449,565,319,393
115,6.jpg,RBC,291,403,104,194
116,6.jpg,RBC,211,323,76,166
117,6.jpg,RBC,207,319,350,440
118,6.jpg,RBC,253,371,298,403
119,6.jpg,RBC,546,639,368,480
120,6.jpg,RBC,482,617,223,327
121,6.jpg,RBC,503,619,160,246
122,6.jpg,RBC,373,489,142,235
123,6.jpg,RBC,108,235,121,216
124,6.jpg,RBC,16,143,59,154
125,7.jpg,WBC,193,387,92,285
126,7.jpg,RBC,17,134,298,402
127,7.jpg,RBC,64,175,372,479
128,7.jpg,RBC,119,230,330,437
129,7.jpg,RBC,169,259,265,374
130,7.jpg,RBC,191,281,291,400
131,7.jpg,RBC,213,303,305,414
132,7.jpg,RBC,247,337,315,424
